gift_id,titulo,descricao,valor,imagem
"gift_01","Relógio para o noivo tentar ser pontual UMA vez na vida","Relógio para o noivo tentar ser pontual UMA vez na vida","330","images/presentes/gift_01.webp"
"gift_02","Make da noiva","Para noiva pagar a make e ficar intacta até o fim da festa","320","images/presentes/gift_02.webp"
"gift_03","Vale paciência da noiva","Para noiva comprar o “vale paciência” (é justo que muito custe o que muito vale)","400","images/presentes/gift_03.webp"
"gift_04","Camisa do Santos pro noivo ir ver o Neymar","Camisa do Santos para o noivo ir ver o Neymar","450","images/presentes/gift_04.webp"
"gift_05","Lanche do noivo","Um lanche com 2 hambúrgueres mal passados e duplo cheddar","220","images/presentes/gift_05.webp"
"gift_06","Vaquinha para o ar condicionado","Ajude a climatizar o cantinho dos noivos","480","images/presentes/gift_06.webp"
"gift_07","Ração das dogs (Lisa e Cristal)","Pacote de 5kg de ração para as dogs (Lisa e Cristal)","280","images/presentes/gift_07.webp"
"gift_08","Kit sobrevivência do casamento","Garantir o kit para o dia seguinte: água, remédio da ressaca e lanchinhos","260","images/presentes/gift_08.webp"
"gift_09","Amigos para sempre","Cotas “amigos para sempre”","360","images/presentes/gift_09.webp"
"gift_10","1 ano de cabelo do noivo","1 ano de cabelo feito para o noivo","800","images/presentes/gift_10.webp"
"gift_11","Ursinho da máquina","Para o noivo pegar um ursinho para a noiva na máquina do shopping","240","images/presentes/gift_11.webp"
"gift_12","Pilhas do controle do ar","1 par de pilhas palito para o controle do ar condicionado","420","images/presentes/gift_12.webp"
"gift_13","Havaianas da noiva","1 par de havaianas pra noiva parar de andar descalça","340","images/presentes/gift_13.webp"
"gift_14","Camisa do Santos pro noivo ir ver o Neymar","Camisa do Santos para o noivo ir ver o Neymar","450","images/presentes/gift_14.webp"
"gift_15","Roupa de cama premium","Comprar roupa de cama premium porque a noiva AMA dormir até tarde","420","images/presentes/gift_15.webp"
"gift_16","Mobiliar a casa","Ajudar a mobiliar a casa","1.100","images/presentes/gift_16.webp"
"gift_18","Relógio de respeito do noivo","Para o noivo comprar um relógio de respeito e nunca mais se atrasar (sonho)","1.200","images/presentes/gift_18.webp"
"gift_19","Primeira compra do mercado","Primeira compra do mercado como casados","800","images/presentes/gift_19.webp"
"gift_20","Almoço especial para os pombinhos","Almoço Especial para os pombinhos","350","images/presentes/gift_20.webp"
"gift_21","Final de semana romântico","Um final de semana romântico e recuperar as energias","1.150","images/presentes/gift_21.webp"
"gift_22","Camisa do Santos pro noivo ir ver o Neymar","Camisa do Santos pro noivo ir ver o Neymar","450","images/presentes/gift_22.webp"
"gift_23","Jogo de cama premium","Jogo de cama premium para a noiva dormir até tarde","900","images/presentes/gift_23.webp"
"gift_24","Autocuidado da noiva","Para noiva investir em autocuidado pós-casamento (porque ela merece)","380","images/presentes/gift_24.webp"
"gift_25","Raspar o cabelo do noivo","Raspar o precioso cabelo do noivo","5.000","images/presentes/gift_25.webp"
